Fecha,Hora,Benceno,CO,CO 8h,Etilbenceno,NO,NO2,NOX,O3,O3 8h,Ortoxileno,PM10,"PM2,5",SO2,Tolueno,DirecWind,Humid,Precip,Temp,SpeedWind,Car,Motorcycle,Bus,Truck
2023-09-18,20:00:00,0.03,0.27,0.24,0.00,1.33,14.33,16.33,63.00,69.00,0.22,11.00,5.67,5.33,0.63,86.0,66.0,0.0,20.8,02.02,2037,6,159,190
2023-09-18,21:00:00,0.01,0.26,0.25,0.00,0.67,9.33,11.00,67.00,68.50,0.21,9.00,4.67,5.33,0.69,90.0,66.0,0.0,20.6,1.99,1430,8,107,116
2023-09-18,22:00:00,0.00,0.23,0.25,0.00,1.00,6.33,8.00,65.50,68.50,0.29,7.67,4.00,5.33,0.75,80.0,65.0,0.0,20.6,1.38,1122,1,86,91
2023-09-18,23:00:00,,0.23,0.26,,0.33,6.33,7.00,59.00,65.50,,7.33,3.67,5.33,,78.0,68.0,0.0,20.3,01.02,955,1,37,101
2023-09-19,0:00:00,,0.24,0.25,,1.00,9.00,10.33,49.50,62.50,,9.00,5.00,5.33,,79.0,68.0,0.0,20.2,0.18,821,0,12,100
2023-09-19,1:00:00,0.00,0.23,0.25,0.00,0.33,9.00,9.67,48.50,61.50,0.24,10.67,5.33,5.00,0.80,102.0,69.0,0.0,19.9,0.43,807,0,6,83
2023-09-19,2:00:00,0.00,0.26,0.25,0.00,1.00,14.00,15.67,54.00,59.50,0.22,9.67,5.67,5.00,0.74,142.0,73.0,0.0,19.4,0.17,789,0,8,82
2023-09-19,3:00:00,0.03,0.28,0.24,0.09,1.33,22.67,24.67,28.00,54.50,0.51,14.00,8.00,5.33,1.54,206.0,75.0,0.0,19.2,0.8,812,1,15,83
2023-09-19,4:00:00,0.09,0.33,0.26,0.22,3.67,32.67,38.00,13.50,47.50,1.11,16.00,9.00,5.33,1.74,197.0,77.0,0.0,19.0,0.94,766,0,10,78
2023-09-19,5:00:00,0.04,0.35,0.27,0.17,11.33,40.67,58.00,8.50,39.00,01.01,16.00,8.33,5.33,1.55,198.0,76.0,0.0,19.1,0.73,884,3,23,68
