Fecha,Hora,CO,O3,PM10,"PM2,5",SO2,SpeedWind,DirecWind,Temp,Humid,Precip,Car,Motorcycle,Bus,Truck
13/09/2023,11:00,0.3,61.27272727272727,10.727272727272727,6.285714285714286,1.25,1.51,20,21.2,66,0,1068,52,142,210
13/09/2023,12:00,0.275,72.27272727272727,11.363636363636363,6.571428571428571,1.25,1.54,49,22.5,61,0,1290,15,185,184
13/09/2023,13:00,0.275,81.81818181818181,11.181818181818182,7.0,1.25,1.46,54,23.9,55,0,1131,48,140,143
13/09/2023,14:00,0.275,95.16666666666667,8.181818181818182,5.285714285714286,1.0,1.11,30,25.7,49,0,1251,70,182,122
13/09/2023,15:00,0.25,104.76923076923077,6.0,3.2857142857142856,1.0,0.94,51,26.7,43,0,1214,46,161,107
13/09/2023,16:00,0.25,109.46153846153847,8.272727272727273,5.285714285714286,1.0,0.95,51,27.3,40,0,758,31,112,101
13/09/2023,17:00,0.25,110.53846153846153,9.272727272727273,5.714285714285714,1.0,0.8,43,27.6,38,0,1211,61,152,114
13/09/2023,18:00,0.275,108.53846153846153,8.454545454545455,4.5,1.0,0.65,16,27.6,39,0,1237,95,169,87
13/09/2023,19:00,0.3,98.07692307692308,8.454545454545455,4.166666666666667,1.0,0.48,3,27.3,39,0,1081,69,120,52
13/09/2023,20:00,0.45,71.38461538461539,9.909090909090908,4.666666666666667,1.0,0.35,6,24.7,47,0,1312,62,134,32
13/09/2023,21:00,0.55,40.92307692307692,12.333333333333334,5.428571428571429,1.0,0.35,6,22,54,0,754,15,59,26
13/09/2023,22:00,0.55,36.53846153846154,15.333333333333334,8.857142857142858,1.0,0.42,6,21.2,55,0,960,20,80,43
13/09/2023,23:00,0.375,46.84615384615385,13.333333333333334,7.714285714285714,1.0,0.57,3,20.7,62,0,673,18,46,23
14/09/2023,0:00,0.3,51.46153846153846,10.833333333333334,7.571428571428571,1.0,0.93,6,20,65,0,716,22,64,26
14/09/2023,1:00,0.22499999999999998,57.30769230769231,8.666666666666666,6.0,1.0,0.68,4,19,69,0,584,28,48,29
14/09/2023,2:00,0.22499999999999998,58.38461538461539,6.5,4.285714285714286,1.25,0.56,6,18.4,72,0,505,33,88,44
14/09/2023,3:00,0.22499999999999998,55.07692307692308,6.916666666666667,4.714285714285714,1.25,0.45,4,17.8,75,0,333,33,41,35
14/09/2023,4:00,0.22499999999999998,52.84615384615385,6.75,4.285714285714286,1.25,0.44,6,17.3,77,0,336,27,39,27
14/09/2023,5:00,0.22499999999999998,50.15384615384615,8.0,5.857142857142857,1.25,0.48,1,17.2,77,0,368,23,49,28
14/09/2023,6:00,0.22499999999999998,45.61538461538461,7.916666666666667,5.142857142857143,1.25,0.43,5,17.6,77,0,614,37,91,63
14/09/2023,7:00,0.275,33.92307692307692,10.416666666666666,6.285714285714286,1.25,0.45,5,17.7,78,0,1007,49,170,113
14/09/2023,8:00,0.375,23.46153846153846,13.916666666666666,6.571428571428571,1.25,0.55,29,18,78,0,1506,52,228,229
14/09/2023,9:00,0.375,25.666666666666668,19.333333333333332,9.142857142857142,1.25,0.65,10,18.6,77,0,1128,40,194,198
